periodname,county,brucellosis,rift_valley_fever,anthrax,brucella
October 2024,Makueni County,12,,,50
October 2024,Mandera County,80,,,313
October 2024,Narok County,674,,,2185
October 2024,Taita Taveta County,2,,,37
October 2024,Nyandarua County,27,,,310
October 2024,Bomet County,51,,,908
October 2024,Kakamega County,95,,,480
October 2024,Bungoma County,646,,,2524
October 2024,West Pokot County,599,,,2115
October 2024,Elgeyo Marakwet County,721,,,1313
October 2024,Nandi County,324,,113,952
October 2024,Turkana County,279,,,708
October 2024,Laikipia County,28,,,276
October 2024,Embu County,32,,,328
October 2024,Kericho County,1081,,2,1622
October 2024,Kisii County,530,,,2283
October 2024,Muranga County,15,,11,215
October 2024,Machakos County,52,,,111
October 2024,Tana River County,42,,,98
October 2024,Kilifi County,21,,,28
October 2024,Trans Nzoia County,240,,16,1352
October 2024,Migori County,356,,,1095
October 2024,Marsabit County,148,,,310
October 2024,Kirinyaga County,1,,,96
October 2024,Kiambu County,12,,1,135
October 2024,Kitui County,132,,,521
October 2024,Nyamira County,115,,,441
October 2024,Kisumu County,87,1,16,320
October 2024,Vihiga County,57,,,260
October 2024,Nakuru County,353,,,2011
October 2024,Isiolo County,33,42,,142
October 2024,Kajiado County,88,,1357,738
October 2024,Busia County,82,,,458
October 2024,Siaya County,54,,,339
September 2022,Mombasa County,2,,2,26
September 2022,Bungoma County,719,,,3246
September 2022,Tharaka Nithi County,83,,6,450
September 2022,Mandera County,107,,,336
September 2022,Isiolo County,88,,,250
September 2022,Nairobi County,125,5,,767
September 2022,West Pokot County,413,,,2232
September 2022,Kakamega County,182,,,706
September 2022,Kajiado County,172,9,,802
September 2022,Busia County,59,,1,390
September 2022,Samburu County,23,,,256
September 2022,Trans Nzoia County,703,,,1487
September 2022,Meru County,59,,1,152
September 2022,Baringo County,330,,10,1331
September 2022,Bomet County,58,,268,240
September 2022,Nyandarua County,36,,,442
September 2022,Uasin Gishu County,300,,,1377
September 2022,Makueni County,67,,81,112
September 2022,Elgeyo Marakwet County,484,,,1228
September 2022,Turkana County,190,,,884
September 2022,Wajir County,41,,,309
September 2022,Kilifi County,17,,,102
September 2022,Lamu County,4,,,4
September 2022,Narok County,511,,,1292
September 2022,Tana River County,24,,27,127
September 2022,Homa Bay County,181,,,562
September 2022,Taita Taveta County,16,,,60
September 2022,Garissa County,61,,,427
September 2022,Kisumu County,100,,,489
September 2022,Kisii County,580,,,3533
September 2022,Nakuru County,385,,,1962
September 2022,Siaya County,62,,,1052
September 2022,Kirinyaga County,2,,,100
September 2022,Embu County,39,,,425
September 2022,Marsabit County,190,,,304
September 2022,Kitui County,58,,,259
September 2022,Laikipia County,42,,,188
September 2022,Muranga County,46,,,41
September 2022,Nyamira County,116,,,638
September 2022,Kiambu County,103,,,296
September 2022,Kericho County,560,,,2368
September 2022,Vihiga County,31,,,201
September 2022,Nandi County,472,,,808
September 2022,Migori County,304,,101,1179
September 2022,Kwale County,3,,,
September 2022,Nyeri County,10,,,119
September 2022,Machakos County,55,,,160
September 2023,Elgeyo Marakwet County,648,,,1243
September 2023,Embu County,64,,,575
September 2023,Siaya County,78,,,367
September 2023,Kilifi County,38,,,15
September 2023,Nakuru County,637,,,1990
September 2023,Muranga County,12,,175,22
September 2023,Nyamira County,302,,278,706
September 2023,Turkana County,248,,,775
September 2023,Nandi County,512,,,841
September 2023,Kericho County,678,,,2771
September 2023,Laikipia County,21,,,112
September 2023,Narok County,709,,4,2150
September 2023,Kakamega County,126,,2,563
September 2023,Nairobi County,267,,,780
September 2023,West Pokot County,227,,1,1316
September 2023,Mandera County,23,,3,825
September 2023,Nyandarua County,28,,,443
September 2023,Makueni County,39,,,107
September 2023,Kisii County,870,,,3533
September 2023,Tana River County,26,,21,75
September 2023,Taita Taveta County,37,,4,112
September 2023,Lamu County,1,,,4
September 2023,Wajir County,59,,,603
September 2023,Homa Bay County,221,1,,760
September 2023,Garissa County,121,,,671
September 2023,Kwale County,1,,,21
September 2023,Bomet County,159,,,806
September 2023,Uasin Gishu County,420,,,1490
September 2023,Vihiga County,73,,,231
September 2023,Bungoma County,563,,,2874
September 2023,Mombasa County,,,11,12
September 2023,Marsabit County,175,,,661
September 2023,Kirinyaga County,9,,,98
September 2023,Samburu County,117,,,429
September 2023,Kitui County,194,,,519
September 2023,Meru County,43,,,140
September 2023,Baringo County,345,,,1297
September 2023,Isiolo County,117,,2,392
September 2023,Trans Nzoia County,505,,,1959
September 2023,Migori County,460,,80,1266
September 2023,Busia County,83,,1,469
September 2023,Kajiado County,115,,,837
September 2023,Kiambu County,9,,1,119
September 2023,Kisumu County,126,,,578
September 2023,Tharaka Nithi County,56,,,362
September 2023,Machakos County,38,,,141
September 2023,Nyeri County,2,,,179
September 2024,Kitui County,136,,,478
September 2024,Makueni County,34,,,83
September 2024,Vihiga County,39,,1,222
September 2024,Samburu County,54,,,266
September 2024,Kirinyaga County,8,,1,53
September 2024,Bomet County,113,,,834
September 2024,Baringo County,340,,,1308
September 2024,Marsabit County,118,,,426
September 2024,Mombasa County,,,,10
September 2024,Garissa County,101,,,620
September 2024,Bungoma County,646,,,2939
September 2024,Meru County,57,,1,135
September 2024,Taita Taveta County,,,,41
September 2024,Kakamega County,146,,,540
September 2024,Nairobi County,268,11,1,762
September 2024,West Pokot County,532,,,1699
September 2024,Wajir County,56,,,693
September 2024,Uasin Gishu County,489,,121,1630
September 2024,Mandera County,52,9,61,300
September 2024,Kilifi County,1,,,15
September 2024,Lamu County,,,,10
September 2024,Tana River County,13,,,195
September 2024,Homa Bay County,165,,2,1169
September 2024,Kisii County,565,,,3251
September 2024,Kiambu County,9,,,57
September 2024,Nyamira County,252,,14,628
September 2024,Nyandarua County,33,,,243
September 2024,Kericho County,379,1,,1849
September 2024,Migori County,434,,12,1436
September 2024,Narok County,994,,8,2805
September 2024,Muranga County,9,,,35
September 2024,Elgeyo Marakwet County,757,,,1268
September 2024,Laikipia County,57,,1,184
September 2024,Turkana County,310,,6,828
September 2024,Kajiado County,107,,,791
September 2024,Busia County,72,,,550
September 2024,Isiolo County,52,,,312
September 2024,Siaya County,40,,30,346
September 2024,Embu County,31,,,284
September 2024,Trans Nzoia County,271,,1320,1537
September 2024,Kisumu County,48,1,6,470
September 2024,Nakuru County,350,,1,1928
September 2024,Nandi County,402,,10,1096
September 2024,Machakos County,36,,,73
September 2024,Tharaka Nithi County,101,,1,457
September 2024,Nyeri County,1,,,151
September 2024,Kwale County,4,5,468,
April 2022,Lamu County,,,,
May 2022,Lamu County,,,,
June 2022,Lamu County,,,,
July 2022,Lamu County,,,,
November 2022,Lamu County,,,,
