periodname,county,brucellosis,rift_valley_fever,anthrax,brucella
August 2024,West Pokot County,520,,,1964
August 2024,Elgeyo Marakwet County,558,,,1483
August 2024,Kajiado County,118,,7,723
August 2024,Laikipia County,20,,1,149
August 2024,Trans Nzoia County,305,,,1795
August 2024,Bungoma County,736,,,2425
August 2024,Embu County,54,,,398
August 2024,Nyeri County,,,58,151
August 2024,Nakuru County,379,,,1767
August 2024,Siaya County,64,,,505
August 2024,Nandi County,508,,,1266
August 2024,Kisumu County,148,,,482
August 2024,Machakos County,25,,2,99
August 2024,Tharaka Nithi County,63,,,589
August 2024,Kwale County,2,,,
December 2022,Kajiado County,144,,,702
December 2022,Isiolo County,85,,14,314
December 2022,Trans Nzoia County,394,,,1811
December 2022,Narok County,591,,,1696
December 2022,Mombasa County,,,,43
December 2022,Kericho County,608,,,2214
December 2022,Tharaka Nithi County,34,,,464
December 2022,Tana River County,13,,,70
December 2022,Nairobi County,119,,9,945
December 2022,Mandera County,32,,,218
December 2022,Muranga County,7,,,61
December 2022,Kwale County,15,,4,33
December 2022,Machakos County,62,,,98
December 2022,Samburu County,34,,16,97
December 2022,Meru County,60,,,80
December 2022,Nyeri County,2,,,102
December 2022,Kitui County,109,,1,375
December 2022,Baringo County,412,,,1145
December 2022,Kiambu County,47,,,205
December 2022,Kisumu County,127,,,559
December 2022,Siaya County,101,,,392
December 2022,Nakuru County,426,,18,2184
December 2022,Migori County,496,,50,1189
December 2022,Nyamira County,160,,,681
December 2022,Busia County,62,,,463
December 2022,Vihiga County,36,,,231
December 2022,Taita Taveta County,8,,1,61
December 2022,Kirinyaga County,5,,,59
December 2022,Marsabit County,150,,,389
December 2022,Makueni County,32,,,192
December 2022,Kisii County,741,,,2726
December 2022,Kilifi County,14,,2,69
December 2022,Uasin Gishu County,346,,,1175
December 2022,Nandi County,305,,,797
December 2022,Elgeyo Marakwet County,441,,,1073
December 2022,Embu County,63,,,454
December 2022,Bomet County,41,,2,161
December 2022,Wajir County,32,,,205
December 2022,Lamu County,1,,,
December 2022,Homa Bay County,250,,,695
December 2022,Garissa County,58,,,566
December 2022,Laikipia County,21,,,80
December 2022,Bungoma County,775,,,2882
December 2022,West Pokot County,400,,,1888
December 2022,Nyandarua County,51,,,533
December 2022,Kakamega County,118,,2,655
December 2022,Turkana County,227,,,786
December 2023,Nakuru County,426,1,1,1963
December 2023,Kilifi County,37,,2,63
December 2023,Embu County,30,,,420
December 2023,Kisumu County,65,,,564
December 2023,Kisii County,622,,,3488
December 2023,Taita Taveta County,9,,,73
December 2023,Laikipia County,35,,,411
December 2023,Muranga County,16,,1,36
December 2023,Nandi County,480,,,962
December 2023,Marsabit County,169,,2,766
December 2023,Migori County,414,,83,1383
December 2023,Trans Nzoia County,283,,,1947
December 2023,Kiambu County,16,,,186
December 2023,Kirinyaga County,15,,,68
December 2023,Machakos County,26,,,89
December 2023,Kitui County,198,,,352
December 2023,Baringo County,232,,,677
December 2023,Isiolo County,53,,,646
December 2023,Nyamira County,160,,,830
December 2023,Busia County,115,,,570
December 2023,Siaya County,42,,,336
December 2023,Vihiga County,78,,,229
December 2023,Kajiado County,95,,4,758
December 2023,Meru County,33,,4,195
December 2023,Nyeri County,2,,2,173
December 2023,Wajir County,25,,,296
December 2023,Lamu County,3,,,4
December 2023,Bungoma County,970,,,2632
December 2023,Mombasa County,,1,,18
December 2023,Samburu County,24,,6,212
December 2023,Garissa County,63,,,673
December 2023,Homa Bay County,167,,1,882
December 2023,Uasin Gishu County,446,,,1222
December 2023,Mandera County,80,,,404
December 2023,Kwale County,,1,,3
December 2023,Tharaka Nithi County,57,,1,502
December 2023,Nairobi County,76,,7,721
December 2023,Makueni County,26,,,71
December 2023,Nyandarua County,24,,,279
December 2023,Narok County,614,,3,1559
December 2023,Tana River County,30,,12,255
December 2023,Kericho County,593,,,2486
December 2023,Bomet County,82,,1,684
December 2023,Elgeyo Marakwet County,509,,,1056
December 2023,West Pokot County,209,,,1401
December 2023,Turkana County,186,,,635
December 2023,Kakamega County,140,,,559
December 2024,Homa Bay County,109,2,3,619
December 2024,Uasin Gishu County,345,,,1100
December 2024,Kwale County,9,,,1
December 2024,Vihiga County,40,,,169
December 2024,Baringo County,339,,,907
December 2024,Bomet County,58,,,753
December 2024,Lamu County,,,,2
December 2024,Marsabit County,112,,,442
December 2024,Mombasa County,,,,45
December 2024,Meru County,42,,10,76
December 2024,Kitui County,114,,,385
December 2024,Makueni County,35,,,37
December 2024,Kirinyaga County,,,,42
December 2024,Samburu County,38,,,201
December 2024,Isiolo County,48,,2,101
December 2024,Kajiado County,49,,,527
December 2024,Tharaka Nithi County,44,,2,247
December 2024,Trans Nzoia County,239,,,1304
December 2024,Nyeri County,,,,122
December 2024,Kiambu County,12,,,60
December 2024,Siaya County,46,,,287
December 2024,Busia County,62,,,328
December 2024,Kisumu County,88,,,341
December 2024,Nyamira County,209,,,553
December 2024,Nakuru County,430,,182,1600
December 2024,Migori County,413,,9,854
December 2024,Elgeyo Marakwet County,490,,,890
December 2024,Embu County,22,,,217
December 2024,Laikipia County,18,,,88
December 2024,Machakos County,44,,1,112
December 2024,Tana River County,14,,,68
December 2024,Kilifi County,2,,,24
December 2024,Kericho County,316,,,1581
December 2024,Muranga County,23,,,37
December 2024,Nandi County,355,,,858
December 2024,Nairobi County,95,8,34,523
December 2024,West Pokot County,367,,,1313
December 2024,Kakamega County,85,3,,426
December 2024,Taita Taveta County,13,,,33
December 2024,Mandera County,32,,,596
December 2024,Kisii County,629,,,2897
December 2024,Garissa County,138,,,482
December 2024,Bungoma County,540,,,2552
December 2024,Nyandarua County,17,,,127
December 2024,Turkana County,170,,,616
December 2024,Wajir County,54,,,372
December 2024,Narok County,776,,,1760
February 2022,West Pokot County,494,,,2434
February 2022,Garissa County,65,,,911
February 2022,Nairobi County,189,,,654
February 2022,Kakamega County,136,,,611
February 2022,Meru County,97,,,292
February 2022,Mombasa County,1,,,21
February 2022,Wajir County,58,,,311
February 2022,Busia County,51,,,342
February 2022,Samburu County,33,,,206
February 2022,Trans Nzoia County,523,,,2396
February 2022,Kajiado County,100,,,588
February 2022,Nyandarua County,62,,,576
February 2022,Isiolo County,110,,,425
February 2022,Bungoma County,546,,34,3269
February 2022,Bomet County,54,,,768
February 2022,Kitui County,171,,,601
February 2022,Makueni County,28,,19,165
February 2022,Baringo County,619,,1803,1198
February 2022,Narok County,544,,3,1336
February 2022,Homa Bay County,212,,,422
February 2022,Uasin Gishu County,367,,,1551
February 2022,Lamu County,,,2,
February 2022,Mandera County,30,,,477
February 2022,Kilifi County,1,,,38
February 2022,Tana River County,18,,,120
February 2022,Kisii County,475,,,2034
February 2022,Kisumu County,61,,5,764
February 2022,Taita Taveta County,10,,,51
February 2022,Nakuru County,525,,,2006
February 2022,Elgeyo Marakwet County,479,,,1094
February 2022,Kirinyaga County,4,,,54
February 2022,Siaya County,46,,165,223
February 2022,Laikipia County,21,,,153
February 2022,Turkana County,207,,,735
February 2022,Marsabit County,164,,,277
February 2022,Embu County,71,,,422
February 2022,Kericho County,446,,16,1608
February 2022,Nyamira County,146,,,404
