periodid,periodname,periodcode,perioddescription,organisationunitid,organisationunitname,organisationunitcode,organisationunitdescription,Brucellosis,MOH 705A Rev 2020_ Rift valley fever,MOH 705A Rev 2020_ Suspected anthrax,MOH 706_Brucella
202308,August 2023,202308,,ihZsJ8alvtb,Kericho County,KE_County_35,,608,,,2868
202308,August 2023,202308,,uepLTG8wGWJ,Nyamira County,KE_County_46,,202,,,1017
202308,August 2023,202308,,u4t9H8XyU9P,Siaya County,KE_County_41,,93,,,405
202308,August 2023,202308,,mThvosEflAU,Trans Nzoia County,KE_County_26,,337,,,1683
202308,August 2023,202308,,PFu8alU2KWG,Embu County,KE_County_14,,85,,,458
202308,August 2023,202308,,R6f9znhg37c,Mandera County,KE_County_9,,43,,,622
202308,August 2023,202308,,BjC1xL40gHo,Kakamega County,KE_County_37,,252,,5,838
202308,August 2023,202308,,XWALbfAPa6n,West Pokot County,KE_County_24,,486,,,2225
202308,August 2023,202308,,kqJ83J2D72s,Narok County,KE_County_33,,940,,,2351
202308,August 2023,202308,,QyGNX2DpR4h,Taita Taveta County,KE_County_6,,17,,,112
202308,August 2023,202308,,Ulj33KBau7V,Kirinyaga County,KE_County_20,,6,,,79
202308,August 2023,202308,,jkG3zaihdSs,Nairobi County,KE_County_47,,117,3,59,750
202308,August 2023,202308,,BoDytkJQ4Qi,Makueni County,KE_County_17,,74,,,41
202308,August 2023,202308,,uyOrcHZBpW0,Garissa County,KE_County_7,,87,,,553
202308,August 2023,202308,,nrI2khZx3d0,Kilifi County,KE_County_3,,24,,,45
202308,August 2023,202308,,JsH2bnvNt2d,Tana River County,KE_County_4,,39,,5,112
202308,August 2023,202308,,NjWSbQTwys4,Lamu County,KE_County_5,,2,,,
202308,August 2023,202308,,sPkRcDvhGWA,Kisii County,KE_County_45,,697,,1,3577
202308,August 2023,202308,,sANMZ3lpqGs,Vihiga County,KE_County_38,,132,,,263
202308,August 2023,202308,,nK0A12Q7MvS,Homa Bay County,KE_County_43,,302,,,584
202308,August 2023,202308,,vvOK1BxTbet,Baringo County,KE_County_30,,417,,,1022
202308,August 2023,202308,,pZqQRRW7PHP,Uasin Gishu County,KE_County_27,,380,,2,1878
202308,August 2023,202308,,CeLsrJOH0g9,Wajir County,KE_County_8,,57,,,686
202308,August 2023,202308,,o36zCRjSd4G,Samburu County,KE_County_25,,66,,,368
202308,August 2023,202308,,wsBsC6gjHvn,Mombasa County,KE_County_1,,2,,4,17
202308,August 2023,202308,,KGHhQ5GLd4k,Bungoma County,KE_County_39,,629,,,3170
202308,August 2023,202308,,Y52XNJ50hYb,Meru County,KE_County_12,,45,,1,170
202308,August 2023,202308,,j8o6iO4Njsi,Kitui County,KE_County_15,,165,,,486
202308,August 2023,202308,,HMNARUV2CW4,Bomet County,KE_County_36,,158,,,784
202308,August 2023,202308,,Eey8fT4Im3y,Marsabit County,KE_County_10,,166,,,590
202308,August 2023,202308,,Hsk1YV8kHkT,Kajiado County,KE_County_34,,120,,1022,751
202308,August 2023,202308,,bzOfj0iwfDH,Isiolo County,KE_County_11,,76,,,270
202308,August 2023,202308,,Tvf1zgVZ0K4,Busia County,KE_County_40,,104,,,554
202308,August 2023,202308,,tAbBVBbueqD,Kisumu County,KE_County_42,,117,,,661
202308,August 2023,202308,,fVra3Pwta0Q,Migori County,KE_County_44,,386,,4,1491
202308,August 2023,202308,,qKzosKQPl6G,Kiambu County,KE_County_22,,18,,,126
202308,August 2023,202308,,ptWVfaCIdVx,Nyeri County,KE_County_19,,12,,2,223
