"","year","date","county","human_incidence","catt_incidence","cam_incidence","goat_incidence","shp_incidence","hum_cases","catt_cases","cam_cases","goat_cases","shp_cases"
"92",2014,2014-01-01,"Homa Bay",0.0603,0,NA,0,0,62,0,0,0,0
"93",2014,2014-08-01,"Homa Bay",0.1051,0,NA,0,0,108,0,0,0,0
"94",2014,2014-06-01,"Homa Bay",0.0574,0,NA,0,0,59,0,0,0,0
"95",2014,2014-10-01,"Homa Bay",0.2589,0,NA,0,0,266,0,0,0,0
"96",2014,2014-03-01,"Homa Bay",0.0117,0,NA,0,0,12,0,0,0,0
"97",2014,2014-02-01,"Isiolo",0.3486,0,0,0,0,83,0,0,0,0
"98",2014,2014-10-01,"Isiolo",0.2478,0,0,0,0,59,0,0,0,0
"99",2014,2014-08-01,"Isiolo",0.2814,0,0,0,0,67,0,0,0,0
"100",2014,2014-04-01,"Isiolo",0.3738,0,0,0,0,89,0,0,0,0
"101",2014,2014-11-01,"Isiolo",0.315,0,0,0,0,75,0,0,0,0
"102",2014,2014-03-01,"Isiolo",0.378,0,0,0,0,90,0,0,0,0
"103",2014,2014-12-01,"Isiolo",0.273,0,0,0,0,65,0,0,0,0
"104",2014,2014-05-01,"Isiolo",0.6762,0,0,0,0,161,0,0,0,0
"105",2014,2014-09-01,"Isiolo",0.1722,0,0,0,0,41,0,0,0,0
"106",2014,2014-07-01,"Isiolo",0.3528,0,0,0,0,84,0,0,0,0
"107",2014,2014-01-01,"Isiolo",0.3276,0,0,0,0,78,0,0,0,0
"108",2014,2014-06-01,"Isiolo",0.5544,0,0,0,0,132,0,0,0,0
"109",2014,2014-10-01,"Kajiado",0.3709,0,0,0,0,367,0,0,0,0
"110",2014,2014-11-01,"Kajiado",0.1971,0,0,0,0,195,0,0,0,0
"111",2014,2014-03-01,"Kajiado",0.4518,0,0,0,0,447,0,0,0,0
"112",2014,2014-02-01,"Kajiado",0.3406,0,0,0,0,337,0,0,0,0
"113",2014,2014-12-01,"Kajiado",0.3264,0,0,0,0,323,0,0,0,0
"114",2014,2014-09-01,"Kajiado",0.4123,0,0,0,0,408,0,0,0,0
"115",2014,2014-07-01,"Kajiado",0.6064,0,0,0,0,600,0,0,0,0
"116",2014,2014-06-01,"Kajiado",0.3487,0,0,0,0,345,0,0,0,0
"117",2014,2014-05-01,"Kajiado",0.4073,0,0,0,0,403,0,0,0,0
"118",2014,2014-04-01,"Kajiado",0.4022,0,0,0,0,398,0,0,0,0
"119",2014,2014-01-01,"Kajiado",0.3133,0,0,0,0,310,0,0,0,0
"120",2014,2014-08-01,"Kajiado",0.5286,0,0,0,0,523,0,0,0,0
"121",2014,2014-11-01,"Kakamega",0.0908,0,NA,0,0,155,0,0,0,0
"122",2014,2014-09-01,"Kakamega",0.0738,0,NA,0,0,126,0,0,0,0
"123",2014,2014-03-01,"Kakamega",0.0697,0,NA,0,0,119,0,0,0,0
"124",2014,2014-02-01,"Kakamega",0.0903,0,NA,0,0,154,0,0,0,0
"125",2014,2014-07-01,"Kakamega",0.0862,0,NA,0,0,147,0,0,0,0
"126",2014,2014-10-01,"Kakamega",0.0926,0,NA,0,0,158,0,0,0,0
"127",2014,2014-05-01,"Kakamega",0.0715,0,NA,0,0,122,0,0,0,0
"128",2014,2014-04-01,"Kakamega",0.0844,0,NA,0,0,144,0,0,0,0
"129",2014,2014-08-01,"Kakamega",0.0838,0,NA,0,0,143,0,0,0,0
"130",2014,2014-06-01,"Kakamega",0.109,0,NA,0,0,186,0,0,0,0
"131",2014,2014-12-01,"Kakamega",0.0709,0,NA,0,0,121,0,0,0,0
"132",2014,2014-01-01,"Kakamega",0.0973,0,NA,0,0,166,0,0,0,0
"133",2014,2014-10-01,"Kericho",0.0842,0,NA,0,0,71,0,0,0,0
"134",2014,2014-09-01,"Kericho",0.1554,0,NA,0,0,131,0,0,0,0
"135",2014,2014-12-01,"Kericho",0.2064,0,NA,0,0,174,0,0,0,0
