county,hum_pop,y
Nyandarua,74338,2017
Tharaka Nithi,17641,2017
Kericho,76527,2017
Kisumu,373710,2017
Nyeri,93284,2017
Tana River,22835,2017
Kitui,48335,2017
Homa Bay,127905,2017
Embu,56772,2017
Kirinyaga,91513,2017
Nyamira,80147,2017
Bomet,55216,2017
Narok,40473,2017
Kisii,206764,2017
Murang'a,105853,2017
Migori,132149,2017
Kiambu,841197,2017
Machakos,188065,2017
Kajiado,252484,2017
Nairobi,3953939,2017
Makueni,38238,2017
Lamu,24674,2017
Taita Taveta,37738,2017
Kilifi,327763,2017
Kwale,98956,2017
Mombasa,877439,2017
Turkana,41299,2018
Marsabit,45572,2018
Mandera,348716,2018
Wajir,154561,2018
West Pokot,26738,2018
Samburu,10585,2018
Isiolo,34230,2018
Baringo,41979,2018
Elgeyo Marakwet,10673,2018
Trans Nzoia,154417,2018
Bungoma,162213,2018
Garissa,411476,2018
Uasin Gishu,330165,2018
Kakamega,204605,2018
Laikipia,45930,2018
Busia,98746,2018
Meru,220820,2018
Nandi,61021,2018
Siaya,82153,2018
Nakuru,693612,2018
Vihiga,94858,2018
Nyandarua,74969,2018
Tharaka Nithi,16856,2018
Kisumu,381767,2018
Kericho,76968,2018
Nyeri,92065,2018
Tana River,23050,2018
Kitui,47386,2018
Homa Bay,129666,2018
Embu,55763,2018
Kirinyaga,88436,2018
Nyamira,75595,2018
Bomet,57145,2018
Narok,41473,2018
Kisii,202070,2018
Murang'a,102479,2018
Migori,131677,2018
Kiambu,846378,2018
Machakos,193177,2018
Kajiado,262226,2018
Nairobi,4092020,2018
Makueni,37706,2018
Lamu,25028,2018
Taita Taveta,39236,2018
Kilifi,335618,2018
Kwale,100341,2018
Mombasa,904000,2018
Turkana,39913,2019
Marsabit,44750,2019
Mandera,381314,2019
Wajir,167461,2019
West Pokot,27118,2019
Samburu,10517,2019
Isiolo,31961,2019
Baringo,42575,2019
Elgeyo Marakwet,11160,2019
Trans Nzoia,158285,2019
Bungoma,163569,2019
Garissa,449535,2019
Uasin Gishu,337960,2019
Kakamega,205542,2019
Laikipia,46407,2019
Busia,101073,2019
Meru,215612,2019
Nandi,61183,2019
Siaya,80957,2019
Nakuru,705583,2019
Vihiga,97329,2019
Nyandarua,73998,2019
Tharaka Nithi,16263,2019
Kisumu,380315,2019
Kericho,77892,2019
Nyeri,92178,2019
Tana River,23132,2019
Kitui,45562,2019
Homa Bay,125498,2019
Embu,55316,2019
Kirinyaga,86084,2019
Nyamira,73265,2019
Bomet,57797,2019
Narok,42694,2019
Kisii,200438,2019
Murang'a,96277,2019
Migori,130669,2019
Kiambu,841718,2019
Machakos,189050,2019
Kajiado,267355,2019
Nairobi,4191115,2019
Makueni,32498,2019
Lamu,24748,2019
Kilifi,338627,2019
Taita Taveta,38128,2019
Kwale,98226,2019
Mombasa,907843,2019
Turkana,39887,2020
Marsabit,46499,2020
Mandera,415046,2020
Wajir,183409,2020
West Pokot,27951,2020
Samburu,11067,2020
Baringo,43914,2020
Isiolo,33813,2020
Elgeyo Marakwet,12157,2020
Trans Nzoia,166963,2020
Bungoma,171522,2020
Garissa,484935,2020
Uasin Gishu,345146,2020
Kakamega,214295,2020
Laikipia,47319,2020
Busia,104191,2020
Meru,215740,2020
Nandi,62795,2020
Siaya,85251,2020
Nakuru,729214,2020
Vihiga,101112,2020
Nyandarua,73993,2020
Tharaka Nithi,16854,2020
Kisumu,387804,2020
Kericho,82093,2020
Nyeri,89486,2020
Tana River,23298,2020
Kitui,48553,2020
Homa Bay,128895,2020
Embu,56650,2020
Kirinyaga,89761,2020
Nyamira,75754,2020
Bomet,61439,2020
Narok,43824,2020
Kisii,205372,2020
Murang'a,99462,2020
Migori,133854,2020
Kiambu,840959,2020
Machakos,195158,2020
Kajiado,271202,2020
Nairobi,4306029,2020
Makueni,36763,2020
Lamu,25235,2020
Kilifi,346035,2020
Taita Taveta,41581,2020
Kwale,100253,2020
Mombasa,929098,2020
Turkana,11966,2021
Marsabit,13950,2021
Mandera,124514,2021
Wajir,55023,2021
West Pokot,8385,2021
Samburu,3320,2021
Baringo,13174,2021
Isiolo,10144,2021
Elgeyo Marakwet,3647,2021
Trans Nzoia,50089,2021
Bungoma,51457,2021
Garissa,145480,2021
Uasin Gishu,103544,2021
Kakamega,64288,2021
Laikipia,14196,2021
Busia,31257,2021
Meru,64722,2021
Nandi,18838,2021
Siaya,25575,2021
Nakuru,218764,2021
Vihiga,30334,2021
Nyandarua,22198,2021
Tharaka Nithi,5056,2021
Kisumu,116341,2021
Kericho,24628,2021
Nyeri,26846,2021
Tana River,6989,2021
Kitui,14566,2021
Homa Bay,38668,2021
Embu,16995,2021
Kirinyaga,26928,2021
Nyamira,22726,2021
Bomet,18432,2021
Narok,13147,2021
Kisii,61612,2021
Murang'a,29839,2021
Migori,40156,2021
Kiambu,252288,2021
Machakos,58547,2021
Kajiado,81361,2021
Nairobi,1291809,2021
Makueni,11029,2021
Lamu,7570,2021
Kilifi,103810,2021
Taita Taveta,12474,2021
Kwale,30076,2021
Mombasa,278729,2021
