County,Sub-County,Ward,sub location,Latitude,Longitude,Locality,Date of Start of Outbreak/Event,month,year,,Date of Report,Month,year,Disease/Condition,Nature of Diagnosis,Test Used,Species Affected,Number at Risk,No. sick,Number Dead,Number Slaughtered,Number Destroyed,Production System,Number of Humans Affected (If zoonosis),Disease Control Method,Number Vaccinated,"Organisation (GOK, Private)",Source
Kirinyaga,Kirinyaga East,Kabare,,-0.7588775,36.4310671,Village/Farm,12/15/2021,December,2021,,12/22/2021,December,2021,Rift Valley Fever (RVF),Clinical,,Sheep,31,14,0,0,0,Mixed,0,"[Quarantine, Vector Control]",0,GOK,KABS
Tana River,Bura,Bangale,,-0.7588782,36.4310591,Village/Farm,12/16/2021,December,2021,,12/22/2021,December,2021,Rift Valley Fever (RVF),Clinical,,Cattle,15,5,0,0,0,Extensive,0,[Quarantine],0,GOK,KABS
Kirinyaga,Kirinyaga East,Kabare,,-0.7588734,36.4310685,Village/Farm,12/15/2021,December,2021,,12/15/2021,December,2021,Rift Valley Fever (RVF),Clinical,,Sheep,31,14,0,0,0,Mixed,0,"[Quarantine, Vector Control]",0,GOK,KABS
Kirinyaga,Kirinyaga East,Kabare,,-0.7588811,36.4310544,Village/Farm,12/15/2021,December,2021,,12/22/2021,December,2021,Rift Valley Fever (RVF),Clinical,,Goats,23,3,9,0,0,Mixed,0,"[Quarantine, Vector Control]",0,GOK,KABS
Kirinyaga,Kirinyaga East,Kabare,,-0.7588904,36.431048,Village/Farm,12/15/2021,December,2021,,12/22/2021,December,2021,Rift Valley Fever (RVF),Clinical,,Sheep,31,14,0,0,0,Mixed,0,"[Vector Control, Quarantine]",0,GOK,KABS
Kirinyaga,Kirinyaga East,Kabare,,-0.7588719,36.4310824,Village/Farm,12/15/2021,December,2021,,12/15/2021,December,2021,Rift Valley Fever (RVF),Clinical,,Goats,23,3,9,0,0,Mixed,0,"[Quarantine, Vector Control]",0,GOK,KABS
Kirinyaga,Kirinyaga East,Kabare,,-0.7588686,36.4310821,Village/Farm,12/15/2021,December,2021,,12/22/2021,December,2021,Rift Valley Fever (RVF),Clinical,,Sheep,31,14,0,0,0,Mixed,0,"[Quarantine, Vector Control]",0,GOK,KABS
Kirinyaga,Kirinyaga East,Kabare,,-0.7588687,36.4310798,Village/Farm,12/15/2021,December,2021,,12/21/2021,December,2021,Rift Valley Fever (RVF),Clinical,,Sheep,31,14,0,0,0,Mixed,0,"[Quarantine, Vector Control]",0,GOK,KABS
Kirinyaga,Kirinyaga East,Kabare,,-0.7588705,36.4310672,Village/Farm,12/15/2021,December,2021,,12/22/2021,December,2021,Rift Valley Fever (RVF),Clinical,,Sheep,31,14,0,0,0,Mixed,0,"[Quarantine, Vector Control]",0,GOK,KABS
Kirinyaga,Kirinyaga East,Kabare,,-0.7588732,36.4310754,Village/Farm,12/15/2021,December,2021,,12/22/2021,December,2021,Rift Valley Fever (RVF),Clinical,,Goats,23,3,9,0,0,Mixed,0,"[Quarantine, Vector Control]",0,GOK,KABS
Kirinyaga,Kirinyaga East,Kabare,,-0.7588761,36.43106,Village/Farm,12/15/2021,December,2021,,12/22/2021,December,2021,Rift Valley Fever (RVF),Clinical,,Sheep,31,14,0,0,0,Mixed,0,"[Quarantine, Vector Control]",0,GOK,KABS
