county,Species,Total cases,Average cases,Clinically confirmed,Lab confirmed,Post Mortem,Mean incidence rate,Minimum incidence rate,Median incidence rate,Maximum incidence rate,SD of incidence rate
Tharaka Nithi,Sheep,0.0,0.00,0.0 (0%),0 (0%),0 (0%),0,0,0,0,0
Trans Nzoia,Human,"231,684.0","25,742.67","51,851.0 (22.38%)","179,833 (77.62%)",0 (0%),"26,147.81",6450.7,28656.27,35594.81,8751.09
Trans Nzoia,Cattle,6.0,0.67,6.0 (100%),0 (0%),0 (0%),3.63,0,0,16.35,6.09
Trans Nzoia,Camel,0.0,0.00,0.0 (0%),0 (0%),0 (0%),0,0,0,0,0
Trans Nzoia,Goat,0.0,0.00,0.0 (0%),0 (0%),0 (0%),0,0,0,0,0
Trans Nzoia,Sheep,0.0,0.00,0.0 (0%),0 (0%),0 (0%),0,0,0,0,0
Turkana,Human,"95,941.0","10,660.11","22,999.0 (23.97%)","72,942 (76.03%)",0 (0%),"11,649.36",1950.05,12256.7,15521.48,4023.16
Turkana,Cattle,55.0,6.11,0.0 (0%),55 (100%),0 (0%),18.81,0,0,86.21,37.34
Turkana,Camel,0.0,0.00,0.0 (0%),0 (0%),0 (0%),0,0,0,0,0
Turkana,Goat,175.0,19.44,43.0 (24.57%),132 (75.43%),0 (0%),9.77,0,0,37.17,15.05
Turkana,Sheep,17.0,1.89,1.0 (5.88%),16 (94.12%),0 (0%),1.79,0,0,9.49,3.63
Uasin Gishu,Human,"254,737.0","28,304.11","75,990.0 (29.83%)","178,747 (70.17%)",0 (0%),"24,646.86",6422.16,28693.97,34525.15,9249.22
Uasin Gishu,Cattle,10.0,1.11,0.0 (0%),10 (100%),0 (0%),3.99,0,0,28.73,9.58
Uasin Gishu,Camel,0.0,0.00,0.0 (0%),0 (0%),0 (0%),0,0,0,0,0
Uasin Gishu,Goat,0.0,0.00,0.0 (0%),0 (0%),0 (0%),0,0,0,0,0
Uasin Gishu,Sheep,0.0,0.00,0.0 (0%),0 (0%),0 (0%),0,0,0,0,0
Vihiga,Human,"42,722.0","4,746.89","8,857.0 (20.73%)","33,865 (79.27%)",0 (0%),"8,015.63",1108.47,8614.63,11847.2,3123.9
Vihiga,Cattle,3.0,0.33,3.0 (100%),0 (0%),0 (0%),2.63,0,0,15.8,5.58
Vihiga,Camel,0.0,0.00,0.0 (0%),0 (0%),0 (0%),0,0,0,0,0
Vihiga,Goat,1.0,0.11,1.0 (100%),0 (0%),0 (0%),3.6,0,0,32.41,10.8
Vihiga,Sheep,0.0,0.00,0.0 (0%),0 (0%),0 (0%),0,0,0,0,0
Wajir,Human,"56,772.0","6,308.00","8,931.0 (15.73%)","47,841 (84.27%)",0 (0%),"8,242.12",1099.19,7916.67,15197.17,4304.45
Wajir,Cattle,0.0,0.00,0.0 (0%),0 (0%),0 (0%),0,0,0,0,0
Wajir,Camel,0.0,0.00,0.0 (0%),0 (0%),0 (0%),0,0,0,0,0
Wajir,Goat,8.0,0.89,8.0 (100%),0 (0%),0 (0%),0.28,0,0,2.5,0.83
Wajir,Sheep,0.0,0.00,0.0 (0%),0 (0%),0 (0%),0,0,0,0,0
West Pokot,Human,"231,923.0","25,769.22","46,836.0 (20.19%)","185,087 (79.81%)",0 (0%),"41,599.26",4737.66,40974.14,67599.07,19146.48
West Pokot,Cattle,23.0,2.56,16.0 (69.57%),0 (0%),7 (30.43%),6.13,0,0,38.38,12.64
West Pokot,Camel,0.0,0.00,0.0 (0%),0 (0%),0 (0%),0,0,0,0,0
West Pokot,Goat,1.0,0.11,1.0 (100%),0 (0%),0 (0%),0.15,0,0,1.31,0.44
West Pokot,Sheep,2.0,0.22,2.0 (100%),0 (0%),0 (0%),0.62,0,0,5.58,1.86
